	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
CTRC	83.18995817102586	0.3016083094363119	0.0756074200976996	3.98913637109393	6.631429127571686e-05	0.0020457455072846
CELA2B	4.469060645904489	0.4130491408647569	0.1462019879827978	2.8251951055094846	0.0047251834150485	0.0336282913136402
PLEKHM2	4279.327709988326	-0.1169656538747436	0.0298594192270005	-3.917211282159731	8.957923298224629e-05	0.0025155053374656
ZBTB17	1984.764328070823	-0.1496192323837684	0.0308404730624144	-4.851392262400503	1.2259780092024944e-06	0.0001249677032923
ANO7L1	31.246453267579785	-0.5413421315085409	0.0957034088581388	-5.656456107127517	1.5453047421560226e-08	3.604458115239782e-06
FBXO42	1370.1334172173608	-0.0767638188768712	0.0260816238352512	-2.943214707863371	0.0032482305429496	0.0263161218605478
SZRD1	3296.99166215798	-0.0860611540471754	0.027836913682197	-3.091619819269522	0.001990676242999	0.0191032611591873
RP11-430L17.1	1.2580599583197587	-0.445251782623114	0.145506763078301	-3.0600074745908006	0.002213314676225	0.0204175485342942
EIF1AXP1	1.7516028089292683	0.589348069769378	0.126834965378832	4.646574136785601	3.3749287878987536e-06	0.0002647887310529
MST1L	17.610026755293536	-0.2892459910682847	0.0855225826904387	-3.382100750105409	0.0007193375713716	0.0097560864643175
CROCC	845.196167834204	-0.2102219004079424	0.067852702274757	-3.0982097007233054	0.0019469361070986	0.0187739749530316
ATP13A2	1271.5359492505258	-0.1226713456227126	0.0385980617479117	-3.178173723434426	0.0014820592076411	0.0156748345363713
ARHGEF10L	393.7171565757136	-0.2241573587815351	0.0663802938819152	-3.376866019609546	0.0007331675307997	0.0098763998646913
AKR7A3	30.1505283683934	-0.4923005093794929	0.1226334286703778	-4.014407121427962	5.959540472266993e-05	0.0019112028905531
AKR7A2	608.0350090964198	-0.1044737928441915	0.0414776396596384	-2.5187979282691493	0.0117756214977803	0.0604511447650946
NBL1	171.66111651002953	-0.3291924188908813	0.0783109280792389	-4.203658760853754	2.6263478876652632e-05	0.0011276745134252
TMCO4	516.309129839748	-0.1351039893196608	0.0550457436975317	-2.4543948404446576	0.0141121933723828	0.0682951025428718
PLA2G2A	134.1500133261975	0.480524950922241	0.1638396510817645	2.9328977921372283	0.0033581442263909	0.0268848831680544
PLA2G2C	6.452674314528972	0.359272347036829	0.1332529576530224	2.6961679002453267	0.0070142301458269	0.0434151165923034
CAMK2N1	98.31727411191602	-0.3237401942741754	0.1024537085728742	-3.159867990956152	0.0015784063604352	0.0163728041177997
DDOST	4309.473696497583	-0.1346677885170999	0.0292263838007471	-4.607747213449551	4.070551056057015e-06	0.0003028466591734
KIF17	10.408410706918849	-0.2902855052590658	0.1002962129964591	-2.894281813704312	0.0038002691748711	0.0291880062908898
RP5-1071N3.1	63.59386615342528	0.1324228293856198	0.0552948339593169	2.3948499326908124	0.016627168926963	0.0761262653736516
RP11-63N8.3	56.38601976305343	0.2434100817663232	0.1014269116541533	2.399856978750432	0.0164014787361052	0.075512985142064
LDLRAD2	9.374741662404393	-0.3431808742684964	0.0912895341442036	-3.759257591635836	0.0001704183069556	0.0038135699095844
ZBTB40-IT1	2.0449721764999733	-0.3365180556105764	0.1491786088733351	-2.2558063662888004	0.0240827604724692	0.0964465199369992
LUZP1	307.6930026562705	-0.1839867501383847	0.0571443348377501	-3.2196848674637337	0.0012833158540073	0.0143340512407693
LINC01355	54.39483563329395	0.1772320386813413	0.0767526866319698	2.309131399284711	0.0209362908521475	0.0880590370363357
ID3	291.1439108009882	-0.2022611331373354	0.0840707300548535	-2.4058448523685514	0.0161351154385563	0.07470569989622
ELOA	730.8681369702764	-0.0905737450391408	0.0241082161121634	-3.7569658666467376	0.00017198594447	0.0038353902569119
NIPAL3	587.219832694932	-0.1669401501018444	0.0506408628223226	-3.296550271814417	0.0009788009565058	0.0120619398214626
RUNX3	8142.473742327972	-0.4032177416946206	0.1143230418901748	-3.527003262229273	0.000420291584964	0.0068267060390865
RP4-799D16.1	2.561749887139035	0.4767011314542663	0.1610007469357212	2.9608628563977226	0.0030677851083868	0.025303607595172
SYF2	1881.748145213812	0.112853252838113	0.0474900727471865	2.376354600231664	0.0174846508530033	0.0784517820621518
TMEM50A	4247.385165684062	0.1174279845125401	0.048011448736684	2.4458329753090147	0.0144517932801578	0.069355214053117
RP11-70P17.1	7.619825851421198	-0.2489158259677941	0.105226898650077	-2.3655151787333604	0.0180050052188254	0.08007000860883
RP1-187B23.1	18.525045122113664	-0.5668515279509263	0.151299427011739	-3.746554360096455	0.0001792801670184	0.0039222748766813
MTFR1L	935.2187576873108	-0.0661226161327031	0.0193469590302258	-3.4177265806682806	0.0006314650863233	0.0089831112912079
PAQR7	206.25765396979205	-0.1327599298789941	0.0539332293312421	-2.461560924965596	0.013833390079006	0.0674752525932766
EXTL1	4.161637737640872	-0.3717996575154765	0.1581307420842733	-2.351216800825052	0.0187121276443939	0.0818924436850919
TRIM63	34.10996076963669	0.653480663940933	0.1711140129168716	3.818978076672181	0.0001340056703587	0.0032639142156707
RP11-231P20.2	2.2755675216765106	-0.456428611200851	0.1750803829895834	-2.6069660313000727	0.0091348421964202	0.0513371389857861
SH3BGRL3	41503.06679667089	-0.1586229686329086	0.050484669801058	-3.14200269622412	0.001677964906806	0.0170716161806073
UBXN11	3466.937328662245	-0.1988707598404169	0.04359081134287	-4.562217442482759	5.061618651635293e-06	0.0003640288014152
CD52	4418.097968447828	-0.1818153165313941	0.0673580804520342	-2.699235419288188	0.0069498993555191	0.0431542791191176
RP3-476K8.3	8.208550807940622	0.1869799834704434	0.072206594056922	2.58951396216034	0.0096111525202115	0.053060542038574
ARID1A	3191.123798413745	0.1408760275684748	0.0426841545742279	3.3004291398929047	0.0009653708850781	0.0119601528772193
ZDHHC18	22262.96491152144	0.1409124815350182	0.0612178109418143	2.3018216327426555	0.021345233077211	0.0890508265552806
NR0B2	5.298965826539777	-0.6502431624226122	0.2166576459658446	-3.001247242043425	0.0026887615477264	0.0231817266840446
KDF1	14.872724958620273	0.2298561439771113	0.0886519881224171	2.5927917562289653	0.0095200395132747	0.0527801591088213
FAM46B	13.393637696921182	0.2363728667760922	0.1030024172896816	2.294828344769061	0.0217429635626888	0.0900766260820409
SLC9A1	2492.9233090582866	0.1293717978722667	0.0547346447360313	2.3636181160248277	0.0180974566692944	0.0803293760714386
SYTL1	5803.748066474046	-0.1192766531873053	0.0414063768337108	-2.880634875790356	0.0039687510511158	0.0300252824839682
CD164L2	2.8575625775267413	-0.4283527705364908	0.1846517671890762	-2.319787008038078	0.0203524022401607	0.0864728930049438
SMPDL3B	62.13664918581981	0.2439095404555076	0.0744094859047076	3.277936105725418	0.0010456906238299	0.0125675759684285
SNORA44	14.571968554653669	-0.3003005583812719	0.1059999998376438	-2.833024140011613	0.0046109903716392	0.033155603093441
TAF12	1044.249306353229	0.1312899492548432	0.0502960626616445	2.610342486211432	0.0090451615955165	0.0510436527614472
RP1-212P9.3	1.3172448440946254	0.3352519954914113	0.1457679061343234	2.299902662952986	0.0214537352010822	0.0893653551428127
SERINC2	785.8944898821815	-0.2973805826932068	0.0839080707735242	-3.544123705285333	0.0003939203706832	0.0065504125352341
LINC01226	3.4350927291590723	-0.3830889357834296	0.1464027040020483	-2.6166793734770755	0.008878969940322	0.050358249884968
TMEM39B	413.34319457683887	-0.1342816183950231	0.0269250576456712	-4.987236059515428	6.124921093046947e-07	7.274327156884336e-05
KPNA6	2164.15289061498	-0.0574048150860959	0.0210383577621674	-2.728578710137019	0.006360790831037	0.0407944600957097
CCDC28B	168.8581879726133	-0.1307067481609652	0.054532951318527	-2.396839800536502	0.0165371520996268	0.0759273044454373
EIF3I	3128.777397075724	-0.1466325729206928	0.0367495131721488	-3.990054840558288	6.605801999835156e-05	0.0020457455072846
MARCKSL1	1337.020462149615	-0.2891789110935019	0.0662356878231791	-4.365907875305611	1.2659583123264976e-05	0.0006914963431317
KIAA1522	107.2751614799932	-0.1658564245124264	0.0694076665676763	-2.389598047511181	0.016866821110893	0.0768159833565753
YARS	2583.372315821284	-0.1318030349093604	0.0584514632554635	-2.254914206908936	0.0241387143964106	0.0965958971309843
S100PBP	762.5862615929451	0.0739996128418944	0.0273113283459416	2.709484207599533	0.0067387913150527	0.0421944488362828
RP4-803A2.1	6.783021653803226	-0.1943216878871924	0.0857130409147403	-2.2671192832895315	0.0233829398967217	0.09456540094752
AK2	2593.729257241745	-0.0954563230394812	0.033012112513312	-2.891554516572933	0.0038334107822018	0.0293044567360685
TRIM62	403.8939874832703	-0.1484812389977229	0.0375718702833363	-3.951925679451115	7.752481981407432e-05	0.0022629011992663
ZNF362	598.6485398794986	-0.0990887094046319	0.0385342018361866	-2.5714483415504383	0.0101274123100541	0.0547980840375362
RP11-415J8.7	2.4709969307720527	-0.3605709329839541	0.1311620327531321	-2.749049594729948	0.0059768342149893	0.039355598845445
RP11-415J8.3	1723.9437996291065	0.2795904066900074	0.0887458968668966	3.150460095178756	0.0016301352384539	0.0167019515072465
RN7SKP16	91.7933871088444	0.2368119860605365	0.0957570969189511	2.47304892984563	0.0133965799833253	0.0660416702871815
DLGAP3	55.60655532211169	-0.2033754794437641	0.061839917499897	-3.288741118454801	0.001006365427191	0.0122557889348092
SFPQ	6059.884616016702	-0.0511150439002328	0.0209208582525353	-2.4432575032641517	0.0145553477159147	0.0696932660972235
NCDN	649.8114768657089	-0.1627407708190693	0.0415750697408469	-3.9143835917412506	9.063545054559946e-05	0.002536910756839
TFAP2E	64.85939503278641	-0.1228767373131255	0.0411003325940002	-2.989677444387952	0.0027927218504277	0.0237537324012565
PSMB2	1758.2688119337186	-0.1231960899002261	0.0306752027693316	-4.016145902168074	5.915763959831724e-05	0.001905037869204
C1orf216	241.0936929217301	-0.0858614934557128	0.0373719992749968	-2.2974819415978422	0.0215912920665216	0.0897387862899716
AGO4	4529.846894396776	0.2971871625821437	0.0734358414453955	4.046895313416163	5.190143873694571e-05	0.0017614245903497
AGO1	2184.551573643287	0.1145163653375621	0.0414905516746215	2.760058874020904	0.0057790945843962	0.0386133000992524
AGO3	601.5598828286762	0.0992944914500073	0.032203680850106	3.0833273970195987	0.0020469981656129	0.0194562516541426
LSM10	1970.8161304077337	-0.1083602958847658	0.046673614111502	-2.321660705894685	0.0202512123452274	0.0862375228339283
CSF3R	297780.73553197	0.189983939415681	0.0746168653919003	2.5461259785955024	0.0108925870155723	0.057520168577724
ZC3H12A	3392.1387374274896	-0.1652482909697409	0.0610143775622308	-2.708350024569175	0.0067618665714052	0.0423046223004153
MEAF6	970.5068986216336	-0.0873907675021262	0.0316345412936889	-2.762510974659228	0.0057358633423259	0.038453453598177
DNALI1	9.102059682206791	-0.3343176324710029	0.1292709318715122	-2.586177941405228	0.0097046815567239	0.0534023397207943
MTF1	2574.1901539976184	0.1337562001203713	0.051548067312368	2.5947859365869754	0.0094649847875702	0.0525424359208796
INPP5B	639.6843032068386	-0.1080643680458865	0.0375623590904546	-2.876932404209614	0.0040156160477888	0.0302237680184393
FHL3	2812.5225737861347	-0.1422418488380396	0.0622626521588411	-2.2845452916968547	0.0223395039601727	0.0916627729053619
MACF1	5345.352328319112	0.1129539794898766	0.0456727853039455	2.4731134468411526	0.0133941616658222	0.0660416702871815
BMP8A	11.89095257827459	-0.1788929084960943	0.0719668978107762	-2.48576656682438	0.012927273051937	0.064377770068802
RP11-69E11.4	188.5081679863696	-0.1832796579112185	0.067148219986261	-2.729479023401049	0.0063434484658759	0.0407729270192093
PPIEL	6.814311959745588	-0.235797481978099	0.0845399101086754	-2.789185388001749	0.0052840808085526	0.0363663307321203
PABPC4	2665.290517458504	-0.1898703203812581	0.0467168308546029	-4.064280836433285	4.818078645253886e-05	0.0016866452500329
MFSD2A	223.8555151952691	-0.2218764239572398	0.0901999969205623	-2.4598274005778813	0.0139003847602932	0.0676494101181864
RP3-342P20.2	10.958017736160604	-0.2670480804818186	0.1100732246005915	-2.4260948241574765	0.0152622819204612	0.0718334377754339
CAP1	57885.03873655216	0.1440697213141918	0.0619559652766792	2.325356737980175	0.0200528927444972	0.0855938972899101
PPT1	14716.184282806278	0.2683170895474429	0.0746966777844665	3.592088664527469	0.0003280381928181	0.0057814827577272
RP1-39G22.7	65.90417549824048	0.2122056420025465	0.0610288713045493	3.4771352880440336	0.0005068020241786	0.0077688639479033
SMAP2	62345.83219345456	0.2148074337767627	0.0804731367797399	2.6693060861378406	0.0076008148421238	0.0454801703437553
RP1-228H13.2	1.2186229837843126	0.8823869142838436	0.2157690297194393	4.089497530906989	4.323086699622865e-05	0.0015853971351265
ZFP69B	25.34730155920966	0.1358117062449371	0.0587838393087803	2.3103578779797607	0.0208683490652001	0.0879078749453728
RP1-228H13.5	38.76582065382714	0.2145582250493927	0.0616769469343367	3.478742637469044	0.0005037721475291	0.0077361593544946
RP11-656D10.7	5.480613941120367	0.2965929726027022	0.1284660378425509	2.3087267077249565	0.0209587513291276	0.0881051264417282
ZFP69	73.899043764607	0.131676194718807	0.050270151050995	2.619371375773906	0.0088091986558492	0.0501603172198358
EXO5	76.9527280811578	0.1249791521629503	0.046059510410971	2.713427716617268	0.0066591094304142	0.0418778242076402
ZNF684	42.35551320417034	0.1952774174949156	0.0619659366677295	3.1513671542160613	0.0016250806918441	0.0166699541174869
RIMS3	105.16651085983536	0.1512197449073047	0.0612661478366149	2.468243071370813	0.0135778084890032	0.0666523260839881
NFYC-AS1	23.063832782587017	0.2108867221717794	0.070535980705215	2.9897751482767387	0.0027918287726916	0.0237537324012565
NFYC	3391.575936224771	0.1010319035145949	0.0437839015596812	2.3075125768972327	0.0210262619210669	0.0882033291312938
HIVEP3	306.4735938935793	-0.2208378142744191	0.0904337794565868	-2.4419836879695307	0.0146068066010023	0.0698789411874633
RIMKLA	9.996861887141868	-0.2617829828374686	0.0909573634323242	-2.8780845547732405	0.004000978835755	0.0301435854934473
PPIH	330.73104497822766	-0.127291171415685	0.050783153992958	-2.506562932923309	0.0121911353329824	0.0619267578784083
YBX1	17596.742381529046	-0.3896922891798733	0.0665777053904472	-5.853194953092926	4.82218307392135e-09	1.2485114196689769e-06
P3H1	828.1448579996146	-0.1108596959626904	0.0288754316358907	-3.839239439278106	0.0001234160277171	0.003096283307777
RP5-848E13.5	44.21707179554009	0.5931092378206829	0.1359476334416599	4.362777216531744	1.2842170183142137e-05	0.000696369246723
ST3GAL3	231.2261060084688	-0.1213692887511147	0.0526602501891924	-2.304760959453694	0.021179964709425	0.0885325260399942
IPO13	755.6464625258778	-0.0978501098784966	0.0319922787571042	-3.058553928634042	0.0022240804447043	0.0204924081116872
RP5-1198O20.4	225.3806838626104	-0.7075725494949345	0.114567049422205	-6.176056318666044	6.572255121727461e-10	2.127028216958071e-07
DMAP1	1529.1213826275955	-0.0936982423686228	0.0265053833931188	-3.5350645934420983	0.0004076754899027	0.0066974150438277
RNF220	1712.40581932578	-0.0958781771845223	0.0271334259114407	-3.5335816972561265	0.0004099693636688	0.0067143521031044
RPS8	18082.719472934503	-0.1207218800935569	0.0514725426035607	-2.345364615526213	0.019008480519607	0.0828114704918638
SNORD46	1.8457218837656195	-0.5061044926155178	0.1614667001880685	-3.1344202366558065	0.0017219406041117	0.0173811946124975
PLK3	3677.400806689055	-0.2515983110105618	0.0653091007440611	-3.8524234470253487	0.0001169545462831	0.0030100100972325
EIF2B3	273.15999600299006	-0.1119050668775251	0.0441285928155279	-2.5358856863015125	0.0112163341013295	0.058738290092541
HECTD3	1745.6272000229146	-0.1264491583765337	0.0329966093111309	-3.832186428133328	0.0001270094323974	0.003146795420289
UROD	2023.8076883358249	-0.1861818299592377	0.0690675104882009	-2.695649932120311	0.0070251453858601	0.0434515143777604
ZSWIM5	34.77223914966608	-0.2085185262053489	0.0859097803561467	-2.4271802970618324	0.0152166916197753	0.0716709773926875
HPDL	12.146605219228332	0.2080470641184876	0.0874055598822591	2.3802497735697843	0.0173009066838799	0.0779564523063582
MUTYH	302.82291448067303	-0.1134511930941487	0.0463349969080752	-2.448498989203052	0.0143452832495658	0.0690075617878424
CCDC17	475.5630114160938	0.1827709195953155	0.0792414526102992	2.3065064252943834	0.0210823515231122	0.0883332195114975
GPBP1L1	4004.443433281635	0.109806895656924	0.03230069110284	3.3995215553536338	0.0006750385881833	0.0093323752608307
IPP	115.0096034891137	0.173984512423041	0.0612288306417639	2.841545569292103	0.0044895435279209	0.0325325416964456
RP11-767N6.7	15.447109154134877	0.1864179943201809	0.0815202180368977	2.2867700652592005	0.0222092476108517	0.0913019418692542
PIK3R3	78.80605123115936	-0.17700975171284	0.0697758454185474	-2.536834210335318	0.011185991427918	0.0586268226842563
POMGNT1	512.6774077208775	-0.1028830432433458	0.0444296384669033	-2.315639892500718	0.0205779388018187	0.0870845723304819
LRRC41	1556.7545502085773	-0.1542475172984788	0.0360306278555146	-4.281011086374133	1.8604608819086698e-05	0.0008837160692398
NSUN4	433.25722854721664	-0.0790643829555964	0.0316472316722336	-2.4983032884031147	0.0124789378954279	0.0628081724564158
FAAH	282.3416337138155	-0.1350166593360774	0.0553707173384213	-2.438412681397398	0.0147519221736436	0.0703262782172356
MKNK1-AS1	188.42104867543875	0.2130243353597709	0.0951653042571177	2.238466393006232	0.0251906566222346	0.0994831132712442
