	Gene	Slope	P	Q
1691	CACHD1	0.2922776297065052	0.0007818081481355	0.02512093609359224
1712	LEPROT	0.1610659036606638	0.0078824667754076	0.09871980413008756
1727	MIER1	0.1902011476430894	0.0008123218185843	0.02558930912876752
1737	SERBP1	-0.0813159752662211	0.000295507321707	0.014263780465630897
1744	GADD45A	0.3376187093813584	0.0012863028737102	0.03395640545531298
1785	RP3-333A15.1	-0.207587248990024	0.0017350934193516	0.04058273737300498
1809	FPGT	0.2514839348627132	0.0071455993555939	0.09325664834343346
1831	ACADM	0.1376426129164032	0.0074304395634249	0.09555772830306059
1838	ST6GALNAC3	0.4760176859555454	0.0003281301246648	0.015083587915610935
1856	USP33	0.1775180107235315	0.0001680924266028	0.010241631420870598
1863	NEXN-AS1	0.3430731746164858	0.0008157765826883	0.025683319032364288
1864	NEXN	0.2852776078374323	0.000684359581544	0.02309057989842401
1875	PTGFR	0.4292627053598281	0.0024797772512956	0.049880618902995354
1892	HNRNPA1P64	0.0862521748050245	0.0001541118182469	0.0098631563678016
1930	SPATA1	0.3279644150285427	0.0021572629175995	0.046011400554049786
1931	CTBS	0.2562734361659001	0.0010357045980907	0.029664840198828698
1940	RP11-33E12.2	0.3070835375143845	0.0039048054365231	0.06518995057818626
1942	C1orf52	0.1017565923701087	0.0031161634693273	0.057336567616284445
1956	ODF2L	0.2138607634894476	3.6680205598251088e-06	0.000945727623433106
1965	RP4-612B15.3	0.4066805401154408	0.0001146301214792	0.008203960010596383
1966	SH3GLB1	0.3134296009761818	0.0001481878285148	0.009593259951134537
1968	SELENOF	0.1647088180471724	0.0007868621268245	0.02521826115398479
1969	HS2ST1	0.2653911114243406	8.323408446013775e-06	0.0016954907234506863
1985	PKN2	0.1959988077667684	0.0062838823101717	0.08662906577847537
1989	RP11-82K18.2	0.3233822706671523	0.0075097429195232	0.09619237106114747
1994	PTGES3P1	0.1818774673244893	0.0001607828118829	0.010006032919218973
1995	GBP2	0.1573768353248132	0.00182348871041	0.041758532333662286
2041	KIAA1107	0.3298224308112649	0.0002837603579334	0.013912003889134321
2042	RP4-621B10.8	0.3947713491935288	0.0020284164132057	0.04437977794940801
2051	RP4-593M8.1	0.1155038084500919	0.0065595646285924	0.08872659084883852
2069	CCDC18	0.2387049688255862	1.954509834284355e-05	0.002972161584213134
2083	DNTTIP2	0.1373652202300015	0.0018211497992682	0.041758532333662286
2084	GCLM	0.1959976289858777	0.0020739300390627	0.04499999550576746
2088	MTCO3P21	0.073253291247344	0.0044949761043479	0.07070154402904037
2096	ARHGAP29	0.2613226570968043	0.0058471180938772	0.0826958214976539
2102	ABCD3	0.1648051398677616	0.0061779066384842	0.08579406601092918
2134	PTBP2	0.2105196705538883	0.0015858128445738	0.0388184302194147
2135	DPYD	0.2137295486983016	0.0011761760874208	0.0322015070032479
2142	RP11-272L13.4	0.302312358409348	0.005787395163422	0.08223463736635445
2166	MFSD14A	0.1290266586567043	0.0065275010576136	0.08854160701639859
2168	SASS6	0.1987094563531379	0.0028815674882784	0.054678669558600776
2193	RP11-421L21.2	0.2580309691776101	0.0069848204707379	0.09208290730222735
2194	RP11-421L21.3	0.3918535271870139	5.4437404798073365e-05	0.005567273484627257
2197	S1PR1	0.2232927917819429	0.0063628952486616	0.08716767312796338
2198	RP4-575N6.5	0.343043394108898	0.001846114057456	0.042045497966056715
2217	AMY2B	0.1679629627368826	0.0006129026677025	0.021755255159437503
2243	VAV3	0.1561673549409537	0.0004289371719761	0.017699575277792326
2247	SLC25A24	0.2879616348404158	0.0009495034424044	0.028132613108323115
2255	NBPF6	-0.1426710745089699	0.0033015393233163	0.05947587543957149
2262	FNDC7	0.3121268332494739	0.0065648912353059	0.08873249376524381
2264	STXBP3	0.2443017872209957	0.0005861430683421	0.021163176181833283
2268	GPSM2	0.1582842878925492	0.0014187863587423	0.036295400607525605
2281	KIAA1324	-0.3942886888508531	0.0003553799732449	0.015760279040930608
2282	SARS	-0.1206928331056101	2.124251667306776e-05	0.003142741111696789
2286	SORT1	0.4098831735434891	0.0007845787437313	0.025195131045752432
2289	ATXN7L2	-0.1545774021803762	0.0023666805978876	0.048480985816090005
2293	GNAI3	0.1567695280796022	0.0044205651469045	0.07004706559896234
2295	AMPD2	-0.2675229758005281	4.595996579500489e-05	0.004978266771192276
2296	RP5-1160K1.6	-0.344667737273065	0.0066963628964858	0.08979804550355017
2298	GSTM4	-0.2486581545436695	0.0004459081361881	0.018179997737700338
2309	RP11-195M16.3	0.4383320377578819	1.6886314816275476e-05	0.002711346171912091
2321	KCNC4	0.2464037253811422	0.0001157239495274	0.008226044078906017
2340	CD53	0.176001516799069	0.002949871886212	0.055320991416037614
2342	RP11-96K19.2	0.275552975067687	0.0041870259577036	0.06784206926551423
2343	LRIF1	0.3249358028603506	6.968020120569753e-05	0.0063932462928091415
2348	CEPT1	0.1386569904924677	0.0070067132892363	0.0922823864622408
2370	RAP1A	0.1707698106396826	0.0013308100681747	0.034761523082197716
2385	WNT2B	0.2535105187786879	7.428252833936106e-05	0.006610978920074394
2387	ST7L	0.2303197564948575	1.3678262259873273e-08	8.205754871329689e-06
2388	CAPZA1	0.1780751467332298	0.0047951227285113	0.07355305984683587
2393	RHOC	-0.2724670801649004	0.0013257421560261	0.034678924667837494
2408	MAGI3	0.322431902446661	0.0011642431441566	0.03193887523909402
2411	PHTF1	0.3140479025162475	8.600482214721797e-05	0.007204667023132179
2412	RP4-730K3.3	0.3559636141260277	0.0004820047050593	0.018985282004759962
2413	RSBN1	0.2129115935033101	0.0001570051975319	0.009931897733095581
2421	HIPK1	0.1213339081277453	0.0070896346590178	0.09284933570899283
2428	RP4-591B8.3	0.0412441290785615	0.0005822627252035	0.021064868584698124
2436	RN7SL432P	0.0269347790698469	0.002811878706104	0.053824012034933234
2444	TSPAN2	0.2543491003080086	0.0026557727074229	0.05166797543932034
2445	LINC01765	0.369657296051829	0.0013842128451515	0.03574595441935226
2447	NGF	0.2378763168492711	0.0076237011381048	0.09685553967931827
2460	LINC01649	0.1541304690732078	0.0073547823872478	0.09503126597919888
2461	SLC22A15	0.2274815604514374	0.0006227192018656	0.02198931867286341
2463	MAB21L3	0.4914133900576188	0.005795840372526	0.08230527829925112
2465	ATP1A1	-0.1419579083708816	0.003318822522031	0.05954958779247351
2503	WDR3	0.1234734183915796	0.0056439999958932	0.08095566152806137
2511	WARS2	-0.1304748712110048	0.0044087165120192	0.0699856504286572
2534	LINC00622	0.3927326941261405	0.0009360695839604	0.027894056073998995
2545	NOTCH2	0.147170022943785	0.0024361395969091	0.04931172891155417
2548	SEC22B	0.1807651622857705	0.0001574456899221	0.0099319600488055
2563	CH17-118O6.3	0.1990955153786649	0.0048033175641963	0.07361670759814834
2565	FCGR1B	0.4485195750773212	0.0006042964205893	0.021576030211125613
2567	RP11-439A17.9	0.7088813916443807	6.769522304706997e-05	0.006279846425708068
2585	CH17-13I23.3	-0.2344812705486119	0.0016238650411253	0.03927008910241391
2607	FCGR1CP	0.5751925859818928	4.018129837501004e-05	0.004541568200597408
2609	RP5-998N21.4	0.7302135522223232	2.272030437654064e-05	0.003255503560430726
2618	RP11-14N7.2	-0.2230758846312029	0.0023626724138829	0.048435228095642234
2668	POLR3GL	0.090478386082194	0.0062839079074363	0.08662906577847537
2672	LINC01719	0.2235019431938447	0.0063768254363219	0.08729279193071343
2712	RP6-74O6.2	0.2439672929820633	0.005630529588217	0.08082615600314028
2721	ABHD17AP1	-0.277711173349927	0.0016714542644855	0.03982701892459841
2741	RP11-495P10.1	0.2373669422492235	0.0020012861614106	0.04415131309113892
2743	RP11-495P10.10	0.3410279458459287	0.0001312647132656	0.008901867362230604
2749	CH17-478G19.2	0.092723273912344	0.0033735326873367	0.06004822186732479
2771	FCGR1A	0.4091758681275887	0.0009066751779132	0.027335841716619732
2773	RP11-196G18.3	0.7232131307463193	9.17242159964176e-07	0.0003169245822580019
2790	SF3B4	-0.109437621774535	0.0036155215684251	0.06234319439780892
2791	MTMR11	-0.1941364892973639	0.0016638084184526	0.039750822398321374
2801	APH1A	-0.1142405168022153	8.951021301475103e-06	0.0017942519280485219
2817	MCL1	0.1533449983156185	0.0073767811160409	0.09512368072071302
2818	ENSA	-0.0761242963384853	0.0050139635322977	0.0753819298615953
2820	GOLPH3L	0.1773812669634794	0.0026889587801248	0.05207365651811744
2837	PRUNE1	0.118457742274261	0.002829050109657	0.05402049635596573
2839	BNIPL	0.3199526460754101	0.0031426275320141	0.057687398193582304
2842	MLLT11	0.1769768067542611	0.0030917988309133	0.05703882914000815
2856	PI4KB	-0.0701491831392673	0.0002737632107346	0.013649201121084021
2866	TUFT1	0.278353669505517	3.2770731054851576e-05	0.0040112550442745675
2871	SNX27	0.1578180956094584	0.0029685789554045	0.05561450320296584
2885	RP11-98D18.17	0.1917542763260928	0.0014131075818574	0.03623145562780009
2893	S100A10	-0.1576841786982799	0.0006795227783906	0.023015390956745582
2902	RPTN	0.1781591952158024	0.0052230393704725	0.077188999813978
2996	CRTC2	-0.146381530116078	0.0011184339667805	0.031107401718060115
2999	RP11-422P24.12	0.2512030136383327	0.0016215573172246	0.03927008910241391
3017	HAX1	-0.0881718115019082	0.0055923605870237	0.0804474701361786
3022	AQP10	0.3407865354687332	0.007272512017416	0.09432016341333185
3035	ADAR	0.1232366283180655	0.0076136558514779	0.09681446206441026
3037	PMVK	-0.131140381307462	0.0025406246709287	0.05057890864585902
3045	FLAD1	-0.0925256404475733	0.0011310337791159	0.03132693864510158
3051	ADAM15	-0.1373692280522628	0.0021591075617982	0.04602499024353273
3054	EFNA1	0.3651034185613975	0.0003285167429598	0.015083587915610935
3058	KRTCAP2	-0.1238636886951937	0.0004561309068004	0.018377194438411393
3069	SCAMP3	-0.1143172749357194	0.003412363165592	0.06042417448459243
3075	RUSC1	-0.1268682130218238	0.0018083355676435	0.04163671670552255
3079	ASH1L-IT1	-0.1171259990871093	0.0058531895983723	0.08276025033782454
3090	DAP3	-0.0556746309429447	0.0039246021303672	0.06543539643119199
3094	RP11-101O6.2	-0.2804600523924745	0.0033884293080967	0.06015041395638753
3119	CCT3	-0.1129592603944275	0.0049131091166926	0.07451621184612525
3126	MEF2D	-0.1592847552967139	0.0009848973970058	0.028772606117474998
3147	SH2D2A	-0.4661538153730935	0.0045512738000099	0.07119692871344027
3152	ARHGEF11	0.2249974436199208	0.00332435315279	0.05954958779247351
3160	RP11-71G12.1	-0.4918613137896466	0.0002432754184815	0.012862771283271813
3197	OR10R3P	0.0567511889225744	0.0040508854248845	0.06665037284969699
3218	IFI16	0.2331269080870012	0.0003415908591872	0.015424423643298282
3219	AIM2	0.5282323698563652	9.836791425876356e-05	0.007598957746247257
3227	FCER1A	-0.7960208741370743	5.3832620245159495e-05	0.005544963027214618
3248	C1orf204	0.2516725264901169	0.0048669075908382	0.07415576194852429
3262	RP11-226L15.5	0.2078719091301966	0.0006211963874693	0.021949743161633672
3271	PEA15	-0.2671816537348333	3.718617776868764e-05	0.004403019928451046
3287	RP11-404F10.2	0.3618048065823073	7.192634700118256e-05	0.0065009985686896666
3293	CD244	-0.2646971204796825	0.0008097550515569	0.02553792476868532
3309	PFDN2	-0.1747370035138175	0.0002778359153741	0.01376371895835106
3313	UFC1	-0.1266320239209907	0.0006818297576873	0.023076534489562976
3317	B4GALT3	-0.1581040127794862	0.004909832724201	0.07451621184612525
3325	PCP4L1	0.3643310208666913	0.0009044687913677	0.02731198204207226
3335	FCGR2A	0.2677092605304804	0.0036231480140636	0.06245497201886961
3340	FCGR2C	0.2198227273196188	0.0014179119868709	0.03629003806247359
3343	FCGR3B	0.3860641474682214	0.0003054951178804	0.014502251717675477
3344	FCGR2B	0.3161974818247119	5.252963795154865e-06	0.0011899161805190637
3352	ATF6	0.221605908205827	0.0019671106858279	0.043724961954689216
3353	RP11-456P18.2	0.3386728647999363	0.0007278324886803	0.02395504638109116
3407	RP11-466F5.3	0.1654870774061989	0.0004784229662752	0.018876205731392703
3453	RP3-455J7.3	0.1098861008748645	4.08263827872839e-05	0.004595451317780211
3457	ADCY10	0.3002767397829124	0.0033235239939863	0.05954958779247351
3491	BLZF1	0.1932827159395162	0.0026910228744853	0.052091532932273
3496	F5	0.2699860004812658	0.0025778120972502	0.05085938489811454
3497	SELP	0.2183267150146282	0.0078430563126396	0.09841696540691493
3502	METTL18	0.234774359501348	0.0008908198546085	0.02703259449849207
3503	SCYL3	0.1901578214687722	0.0001833827782169	0.010822909950711319
3538	PFN1P1	-0.2425708200279037	0.005412033820262	0.07867706025395037
3553	PIGC	0.1194883051169944	0.0076160540978946	0.09681446206441026
3566	TNFSF4	0.2718414945138251	0.0001179143318518	0.00828465792078953
3568	RP11-296O14.2	0.3725080510418416	0.0007308236622007	0.024034412871602778
3569	RP11-296O14.3	0.225547147666533	0.0002591133912917	0.013319697040862982
3582	ZBTB37	0.2352193612080045	6.492772242832964e-05	0.006185923600012864
3585	RC3H1	0.1951068595524686	0.000100017255015	0.007679524593219241
3605	KIAA0040	0.359424637971819	0.0001998762057399	0.011461808638395611
3614	RFWD2	0.178724488006017	0.0076058070015355	0.0967894469489457
3617	RP11-195C7.1	0.3728207884468951	0.0011981654427295	0.032513915824948454
3632	SEC16B	-0.2166185131839039	0.0057828585247192	0.08220444294870236
3647	RALGPS2	0.1787398265351612	0.0006246719121128	0.021998458221235945
3676	TOR1AIP1	0.2381711208115556	0.0005105549175561	0.01960071312181618
3685	LHX4	0.4569071228721235	0.0016329216349486	0.03935737655413421
3692	KIAA1614	0.3809841062647232	0.0037429743004539	0.06360701170679786
3698	MR1	0.1301990561819103	0.0046345277432407	0.07192563408095466
3703	CACNA1E	0.5824444149978298	6.79090124223162e-07	0.00025567509007993697
3707	ZNF648	0.2544985141006975	0.0008490595052914	0.026306388486304264
3711	LINC01344	0.3376286254319035	1.658802831987011e-05	0.0026942118314614797
3718	LINC00272	0.2253425836566535	9.566149348811529e-05	0.0074949465560999635
3719	RGSL1	0.2837259092101575	0.0010492672623538	0.029934118904213953
3722	RNASEL	0.3630703842560448	3.1580728087322474e-05	0.003935426738433432
3724	LINC01686	0.6179725641560795	1.0057646061903227e-07	4.9465496739767654e-05
3728	NPL	0.2052149231142351	0.0020228075802747	0.044335831870978795
3736	LAMC1	0.2101523896242366	0.0022235896596214	0.04672448294767185
3739	NMNAT2	0.426115907253344	0.0018227841982025	0.041758532333662286
3744	ARPC5	0.1831607815189492	0.0053091976504367	0.07787203603778622
3755	GS1-115G20.1	-0.1582353354897125	0.0057017812307514	0.08148472276156557
3757	EDEM3	0.262190370134695	0.0021494306261364	0.04591358702194608
3758	FAM129A	0.3325841596684801	0.0006258902069098	0.021998458221235945
3762	RNF2	0.1369518703284881	0.0021648211498045	0.04609279103359097
3764	TRMT1L	0.2505444549534328	0.0005238984928093	0.019958188071114578
3765	SWT1	0.2160435368311517	6.408921964588814e-05	0.0061487188723728685
3766	CTA-253N17.1	0.2118247127497932	0.0077028013910486	0.09740823107253306
3776	GS1-204I12.3	0.1249667494952846	0.0045209669535243	0.07090164548313663
3782	TPR	0.1006013119372034	0.0075729265762019	0.0965937401046762
3785	RP11-295K2.3	0.2324202025774102	0.0023207350443863	0.04797181656309613
3831	RGS18	0.4476770812538145	0.0001419377384207	0.009335740982967295
3833	RP11-142L4.2	0.0907992524868847	0.0002457559038199	0.012898091213334736
3848	TROVE2	0.1380701881002525	0.0043457312950969	0.06940964390343182
3888	NEK7	0.2284267948824509	0.0023806496263134	0.0486393803891097
3892	PTPRC	0.2118526337309187	0.0002615111695264	0.013373008923833933
3893	RP11-553K8.5	0.2567637990443372	0.0025633647180383	0.050821639040374
3915	LINC00862	0.2859026951095573	0.0067247098725055	0.08989352986845929
3919	ZNF281	0.2808182349455274	0.0008057241496307	0.025513974928445
3922	DDX59	0.2399170620242012	0.0003297001177288	0.015112501114232284
3945	CSRP1	-0.1032143568648166	0.0036970151772086	0.06320934937493639
3973	PTPN7	-0.2188797288631989	0.000348397525666	0.015602721674453054
3975	LGR6	-0.7329592025807974	5.545434169372766e-05	0.00561662972494245
3994	KLHL12	0.2232264586139722	0.0004504948385021	0.0182579170181935
3995	HNRNPA1P59	0.4036450741189527	0.004554190929038	0.07119770652864905
4011	LINC01136	0.22479489078503	0.0047687984658712	0.07335538062801933
4019	ATP2B4	0.1748750901359098	0.0004114390685615	0.01723272155844431
4031	SOX13	-0.3012978757884831	0.0058833689145886	0.08303642083382132
4049	RP11-430C7.4	0.3431372017290289	0.0011946408300603	0.03250418552818536
4050	LRRN2	0.2536275612877865	0.0003658332172154	0.01598890688926035
4051	RP11-430C7.5	0.2266569277179857	0.0053930969508504	0.0785703752829035
4061	DSTYK	0.1136330036987494	0.0047784097923534	0.07342047491814152
4073	CDK18	-0.2735633749265949	0.0003346674518122	0.01527605813489266
4098	IKBKE	-0.1457040630841312	0.0001580071605988	0.00994916598778511
4100	C1orf147	-0.3182793733906649	1.6040039085320184e-05	0.0026535085265024226
4105	EIF2D	-0.1424917899425828	0.0001710280499936	0.01035117883065478
4121	PFKFB2	0.4997605021160196	0.0006069632561979	0.021600611526959423
4133	RP11-357P18.3	0.1952153755737077	1.070897139042617e-05	0.0020159454005039498
4134	CR2	0.2462312510211329	0.0069230446553511	0.09168028580208977
4135	CR1	0.4740458615180081	1.3896033833245456e-05	0.002431449612258128
